ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
JNS,45,0,0.0,,,2011-09-21,2011-11-22,가격 없음
JOY,1018,0,0.0,,,2011-09-21,2015-10-07,가격 없음
JWN,2202,0,0.0,,,2011-09-21,2020-06-19,가격 없음
K,3582,0,0.0,,,2011-09-21,2025-12-10,가격 없음
KMX,3554,3549,0.9985931344963421,2011-09-21,2026-09-21,2011-09-21,2025-10-30,복원
KORS,1221,0,0.0,,,2013-11-13,2018-09-18,가격 없음
KRFT,691,0,0.0,,,2012-10-02,2015-07-02,가격 없음
KSS,2265,2264,0.9995584988962473,2011-09-21,2026-09-21,2011-09-21,2020-09-18,복원
KSU,2156,0,0.0,,,2013-05-24,2021-12-13,가격 없음
LB,2483,0,0.0,2024-06-28,2026-09-21,2011-09-21,2021-08-02,재사용 의심
LEG,2580,0,0.0,2026-07-17,2026-08-27,2011-09-21,2021-12-17,재사용 의심
LIFE,588,0,0.0,2026-01-29,2026-09-21,2011-09-21,2014-01-23,재사용 의심
LKQ,2414,2410,0.9983429991714996,2011-09-21,2026-09-21,2016-05-23,2025-12-19,복원
LLL,1956,0,0.0,,,2011-09-21,2019-06-28,가격 없음
LLTC,1377,0,0.0,,,2011-09-21,2017-03-10,가격 없음
LM,1310,0,0.0,,,2011-09-21,2016-12-01,가격 없음
